-----------------------------------------------
ace.map QC reference file generated Wed May 02 17:12:44 CEST 2007
ace.map QC version: 1.0
http://www.iri.cnrs.fr/seg
-----------------------------------------------

File	s-range	s1-weight	s1-mean	s1-var	s1-x0	s2-weight	s2-mean	s2-var	s2-x0	v-range	vb-x_offset	vb-slope	v1-x0	v1-m	v1-v	v2m-y_offset	v2m-scale	v2m-x_offset	v2m-slope	v2v-y_offset	v2v-scale	v2v-x_offset	v2v-slope	

051204050228_pr9_050228-1835.ma0	9.3579	0.4591	0.2935	0.5613	0.0000	0.5409	7.5205	2.2560	0.6000	6.9457	-0.4156	-2.3025	0.3350	0.0446	1.5533	-3.2970	3.0855	0.3175	-1.1196	0.0173	0.1847	2.0513	-2.8907
051204050228_pr9_050228-1850.ma0	9.0984	0.3322	0.3494	0.4991	0.0000	0.6678	4.1182	2.4376	0.1200	6.5309	-0.3512	-2.9895	0.3350	0.0261	1.4981	-3.1364	2.8314	0.5095	-1.2281	0.0274	0.1453	1.8838	-2.8214
051204050228_pr9_050228-1920.ma0	9.3832	0.3377	0.3109	0.5510	0.0000	0.6623	4.0889	2.5555	0.2400	6.6317	-0.2691	-3.0150	0.3350	0.0418	1.5152	-3.1079	2.4443	0.7187	-1.3410	0.0125	0.1848	1.8343	-2.7924
051204050228_pr9_050228-1935.ma0	9.3200	0.4059	0.2586	0.5042	0.0000	0.5941	5.7888	2.3305	0.4200	6.8445	-0.5706	-2.2617	0.3350	0.0732	1.5522	-3.2640	3.2656	0.1841	-1.1001	0.0114	0.1971	1.9125	-2.5169
051204050228_pr9_HA00658.ma0	8.8059	0.4137	0.5119	0.4671	0.0000	0.5863	5.6427	2.3001	0.1200	6.3238	-0.0530	-3.7432	0.3350	0.0897	1.4582	-2.6698	1.9972	0.8397	-1.6523	0.0207	0.1538	1.6059	-2.6963
051204050228_pr9_HA0065M.ma0	9.1511	0.3695	0.3729	0.6203	0.0000	0.6305	4.9256	2.4395	0.1200	6.4671	-0.1223	-2.1535	0.3350	0.0189	1.5353	-2.8922	2.5260	0.2405	-1.0900	0.0103	0.1313	1.9928	-3.1327
051204050320pr9_ 040720-1207.ma0	8.4966	0.4294	0.5245	0.5370	0.0000	0.5706	4.1432	2.4069	0.3900	6.7376	-0.1228	-2.8551	0.3350	0.2679	1.4754	-2.8213	3.3314	0.3317	-1.0872	0.1648	0.0540	0.0142	-4.3379
051204050320pr9_ 040720-1237.ma0	8.5310	0.4197	0.5850	0.5079	0.0000	0.5803	4.3735	2.4088	0.1800	6.5338	0.1661	-3.4225	0.3350	0.0823	1.4732	-2.7515	1.9725	1.0964	-1.6076	0.0579	0.0932	1.9749	-4.0896
051204050320pr9_ 040720-1327.ma0	8.5185	0.4590	0.5252	0.5409	0.0000	0.5410	4.5879	2.3919	0.4800	6.1081	-0.0699	-3.2250	0.3350	0.1938	1.4700	-2.4414	2.3395	0.4112	-1.3366	0.0109	0.1685	1.1359	-1.9500
051204050320pr9_ 040720-1344.ma0	8.5450	0.3789	0.5460	0.5662	0.0000	0.6211	3.3528	2.4984	0.1800	6.5887	-0.0458	-2.8460	0.3350	0.0971	1.5059	-2.9260	2.5648	0.6610	-1.2924	0.0181	0.1324	1.9968	-2.4583
