-----------------------------------------------																							
ace.map QC reference file generated Fri Apr 13 18:06:21 CEST 2007																							
ace.map QC version: 1.0																							
http://www.iri.cnrs.fr/seg																							
-----------------------------------------------																							

File	s-range	s1-weight	s1-mean	s1-var	s1-x0	s2-weight	s2-mean	s2-var	s2-x0	v-range	vb-x_offset	vb-slope	v1-x0	v1-m	v1-v	v2m-y_offset	v2m-scale	v2m-x_offset	v2m-slope	v2v-y_offset	v2v-scale	v2v-x_offset	v2v-slope

051204050228_pr9_050228-1835.ma0	1608.5399	0.4591	0.2935	0.5613	0.0000	0.5409	7.5205	2.2560	0.6000	65.2400	-0.4169	-2.2997	0.3350	0.0452	1.5537	-3.2970	3.0912	0.3143	-1.1186	0.0173	0.1856	2.0386	-2.8195
051204050228_pr9_050228-1850.ma0	1549.6069	0.3322	0.3494	0.4991	0.0000	0.6678	4.1182	2.4376	0.1200	53.9400	-0.3505	-2.9904	0.3350	0.0256	1.4980	-3.1364	2.8285	0.5112	-1.2287	0.0274	0.1449	1.8927	-2.8053
051204050228_pr9_050228-1920.ma0	1845.3212	0.3377	0.3109	0.5510	0.0000	0.6623	4.0889	2.5555	0.2400	66.4400	-0.2703	-3.0084	0.3350	0.0427	1.5152	-3.1079	2.4516	0.7135	-1.3379	0.0125	0.1855	1.8273	-2.7725
051204050228_pr9_050228-1935.ma0	1564.4144	0.4059	0.2586	0.5042	0.0000	0.5941	5.7888	2.3305	0.4200	61.6400	-0.5728	-2.2534	0.3350	0.0739	1.5534	-3.2640	3.2767	0.1778	-1.0984	0.0114	0.1985	1.9072	-2.3253
051204050228_pr9_HA00658.ma0	1509.1197	0.4137	0.5119	0.4671	0.0000	0.5863	5.6427	2.3001	0.1200	67.0400	-0.0528	-3.7438	0.3350	0.0895	1.4583	-2.6698	1.9967	0.8400	-1.6525	0.0207	0.1537	1.6067	-2.6987
051204050228_pr9_HA0065M.ma0	1554.4001	0.3695	0.3729	0.6203	0.0000	0.6305	4.9256	2.4395	0.1200	61.7400	-0.1229	-2.1507	0.3350	0.0197	1.5352	-2.8922	2.5337	0.2348	-1.0881	0.0103	0.1314	1.9868	-3.1703
051204050320pr9_ 040720-1207.ma0	1268.4871	0.4294	0.5245	0.5370	0.0000	0.5706	4.1432	2.4069	0.3900	70.6300	-0.1233	-2.8516	0.3350	0.2682	1.4757	-2.8213	3.3369	0.3284	-1.0862	0.1648	0.0542	0.0144	-4.3264
051204050320pr9_ 040720-1237.ma0	1419.9843	0.4197	0.5850	0.5079	0.0000	0.5803	4.3735	2.4088	0.1800	64.4600	0.1661	-3.4227	0.3350	0.0822	1.4732	-2.7515	1.9722	1.0966	-1.6077	0.0579	0.0932	1.9750	-4.0903
051204050320pr9_ 040720-1327.ma0	1353.8335	0.4590	0.5252	0.5409	0.0000	0.5410	4.5879	2.3919	0.4800	69.2800	-0.0471	-3.4613	0.3350	0.1748	1.4602	-2.4414	2.0737	0.5981	-1.4412	0.0109	0.1436	1.3741	-2.6729
051204050320pr9_ 040720-1344.ma0	1257.2760	0.3789	0.5460	0.5662	0.0000	0.6211	3.3528	2.4984	0.1800	72.6200	-0.0454	-2.8494	0.3350	0.0969	1.5058	-2.9260	2.5622	0.6627	-1.2932	0.0181	0.1320	2.0019	-2.5216
051204050320pr9_ 040720-1401.ma0	1280.7222	0.4125	0.5403	0.5009	0.0000	0.5875	4.8797	2.2924	0.1200	76.3600	0.1756	-3.2884	0.3350	0.1211	1.4791	-2.6135	1.7233	1.0233	-1.5329	0.0404	0.1071	1.4729	-4.6478
051204050320pr9_ 040720-1418.ma0	1395.0894	0.4327	0.5797	0.5258	0.0000	0.5673	4.5945	2.3753	0.1800	68.3100	0.1185	-3.2606	0.3350	0.0955	1.5072	-2.7486	2.4112	0.7352	-1.2335	0.0549	0.0830	1.5104	-3.8419
